abs(H),w
0.97661,0.39148
0.9899,0.40126
0.99827,0.41105
0.99951,0.42084
0.99224,0.43062
0.97667,0.44041
0.95488,0.4502
0.93061,0.45998
0.9086,0.46977
0.89408,0.47956
0.89257,0.48934
0.90955,0.49913
0.94787,0.50892
0.9932,0.51871
0.97377,0.52849
0.79617,0.53828
0.54987,0.54807
0.36066,0.55785
0.23908,0.56764
0.16231,0.57743
0.11262,0.58721
0.079468,0.597
0.056743,0.60679
0.040813,0.61657
0.029447,0.62636
0.021224,0.63615
0.015213,0.64593
0.010787,0.65572
0.007511,0.66551
0.0050823,0.6753
0.0032828,0.68508
0.0019548,0.69487
0.00098224,0.70466
0.00027899,0.71444
0.00021956,0.72423
0.00056224,0.73402
0.00078622,0.7438
0.00091996,0.75359
0.00098536,0.76338
0.00099935,0.77316
0.00097504,0.78295
0.0009226,0.79274
0.00084995,0.80253
0.00076324,0.81231
0.00066725,0.8221
0.00056569,0.83189
0.0004614,0.84167
0.0003566,0.85146
0.00025293,0.86125
0.00015166,0.87103
5.372e-05,0.88082
4.0233e-05,0.89061
0.00012973,0.90039
0.00021446,0.91018
0.00029425,0.91997
0.00036901,0.92975
0.00043875,0.93954
0.0005035,0.94933
0.00056337,0.95912
0.00061848,0.9689
0.000669,0.97869
0.00071508,0.98848
0.00075692,0.99826
0.0007947,1.008
0.00082861,1.0178
0.00085884,1.0276
0.00088559,1.0374
0.00090905,1.0472
0.00092939,1.057
0.00094679,1.0668
0.00096142,1.0766
0.00097346,1.0863
0.00098306,1.0961
0.00099037,1.1059
0.00099553,1.1157
0.00099868,1.1255
0.00099996,1.1353
0.00099948,1.1451
0.00099737,1.1549
0.00099374,1.1646
0.00098868,1.1744
0.00098231,1.1842
0.00097472,1.194
0.00096598,1.2038
0.00095619,1.2136
0.00094543,1.2234
0.00093377,1.2331
0.00092128,1.2429
0.00090802,1.2527
0.00089406,1.2625
0.00087945,1.2723
0.00086425,1.2821
0.00084851,1.2919
0.00083228,1.3017
0.0008156,1.3114
0.00079852,1.3212
0.00078107,1.331
0.00076329,1.3408
0.00074523,1.3506
0.0007269,1.3604
0.00070834,1.3702
0.00068958,1.38
0.00067064,1.3897
0.00065156,1.3995
0.00063235,1.4093
0.00061304,1.4191
0.00059364,1.4289
0.00057418,1.4387
0.00055468,1.4485
0.00053515,1.4582
0.0005156,1.468
0.00049605,1.4778
0.00047652,1.4876
0.00045702,1.4974
0.00043756,1.5072
0.00041814,1.517
0.00039879,1.5268
0.00037951,1.5365
0.00036031,1.5463
0.00034119,1.5561
0.00032217,1.5659
0.00030325,1.5757
0.00028444,1.5855
0.00026574,1.5953
0.00024716,1.6051
0.00022871,1.6148
0.00021039,1.6246
0.0001922,1.6344
0.00017414,1.6442
0.00015623,1.654
0.00013846,1.6638
0.00012084,1.6736
0.00010337,1.6833
8.6052e-05,1.6931
6.8887e-05,1.7029
5.1878e-05,1.7127
3.5026e-05,1.7225
1.8334e-05,1.7323
1.8023e-06,1.7421
1.4568e-05,1.7519
3.0776e-05,1.7616
4.6821e-05,1.7714
6.2701e-05,1.7812
7.8418e-05,1.791
9.397e-05,1.8008
0.00010936,1.8106
0.00012458,1.8204
0.00013964,1.8301
0.00015453,1.8399
0.00016926,1.8497
0.00018382,1.8595
0.00019822,1.8693
0.00021245,1.8791
0.00022653,1.8889
0.00024044,1.8987
0.00025418,1.9084
0.00026777,1.9182
0.0002812,1.928
0.00029446,1.9378
0.00030757,1.9476
0.00032052,1.9574
0.00033331,1.9672
0.00034594,1.977
0.00035842,1.9867
0.00037074,1.9965
0.00038291,2.0063
0.00039493,2.0161
0.00040679,2.0259
0.00041851,2.0357
0.00043007,2.0455
0.00044149,2.0552
0.00045276,2.065
0.00046388,2.0748
0.00047486,2.0846
0.00048569,2.0944
0.00049638,2.1042
0.00050692,2.114
0.00051733,2.1238
0.0005276,2.1335
0.00053772,2.1433
0.00054771,2.1531
0.00055757,2.1629
0.00056728,2.1727
0.00057686,2.1825
0.00058631,2.1923
0.00059563,2.2021
0.00060482,2.2118
0.00061387,2.2216
0.0006228,2.2314
0.0006316,2.2412
0.00064027,2.251
0.00064881,2.2608
0.00065723,2.2706
0.00066553,2.2803
0.00067371,2.2901
0.00068176,2.2999
0.00068969,2.3097
0.0006975,2.3195
0.00070519,2.3293
0.00071277,2.3391
0.00072022,2.3489
0.00072756,2.3586
0.00073479,2.3684
0.0007419,2.3782
0.0007489,2.388
0.00075579,2.3978
0.00076256,2.4076
0.00076923,2.4174
0.00077578,2.4271
0.00078223,2.4369
0.00078856,2.4467
0.00079479,2.4565
0.00080092,2.4663
0.00080694,2.4761
0.00081285,2.4859
0.00081866,2.4957
0.00082436,2.5054
0.00082997,2.5152
